"id_solicitud","Fecha_creación","Tipo_solicitud","Es_anonima","Tipo_persona","Estado","Fue_delegada","Fecha_ delego","Fecha_cierre"
"91,579,198,602","19 julio 2025 05:57:53","Petición","NO","Persona natural","Abierta","SI","21 julio 2025 11:23:16 Hace 23 días","N/A"
"91,566,007,102","26 junio 2025 08:12:23","Petición","SI","N/A","Abierta","SI","01 julio 2025 08:55:18 Hace 43 días","N/A"
"91,555,302,002","16 junio 2025 11:09:28","Petición","SI","N/A","Abierta","SI","17 junio 2025 08:46:44 Hace 57 días","N/A"
"91,547,233,802","09 mayo 2025 10:16:40","Petición","SI","N/A","Abierta","SI","17 junio 2025 08:48:58 Hace 57 días","N/A"
"91,533,037,302","05 abril 2025 09:40:21","Petición","NO","Persona jurídica","Abierta","SI","17 junio 2025 08:49:49 Hace 57 días","N/A"
"91,528,320,502","04 febrero 2025 11:09:56","Petición","SI","N/A","Abierta","SI","14 febrero 2025 09:57:18 Hace 180 días","N/A"
"91,518,798,002","24 enero 2025 05:09:39","Petición","NO","Persona jurídica","Abierta","SI","05 febrero 2025 09:23:59 Hace 189 días","N/A"
"91,505,607,202","15 enero 2025 02:04:24","Petición","SI","N/A","Abierta","SI","05 febrero 2025 09:25:49 Hace 189 días","N/A"
"91,495,861,002","08 enero 2025 04:41:49","Petición","SI","N/A","Abierta","SI","05 febrero 2025 09:31:03 Hace 189 días","N/A"
"91,488,793,102","08 enero 2025 11:20:30","Petición","SI","Persona jurídica","Abierta","SI","05 febrero 2025 09:32:24 Hace 189 días","N/A"
"91,474,560,402","15 noviembre 2024 01:07:21","Petición","NO","Persona natural","Abierta","SI","05 febrero 2025 09:34:31 Hace 189 días","N/A"
"91,462,436,402","28 octubre 2024 09:06:44","Petición","NO","Persona natural","Abierta","SI","05 febrero 2025 09:37:59 Hace 189 días","N/A"
"91,458,078,102","01 octubre 2024 04:03:39","Petición","NO","Persona jurídica","Cerrada","NO","N/A","28 noviembre 2024 08:17:07"
"91,441,211,402","25 septiembre 2024 04:07:43","Petición","NO","Persona jurídica","Cerrada","NO","N/A","10 octubre 2024 08:17:16"
"91,438,664,301","23 septiembre 2024 12:31:40","Solicitud de información","NO","Persona natural","Cerrada","NO","N/A","01 octubre 2024 04:12:38"
"91,421,621,102","02 agosto 2024 08:20:04","Petición","NO","Persona natural","Cerrada","NO","N/A","05 noviembre 2024 08:47:39"
"91,416,208,702","02 julio 2024 01:36:15","Petición","SI","N/A","Cerrada","NO","N/A","24 julio 2024 03:32:19"
